epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1637,1.93936,2.75207,1.81382,0.61015,0.15655,0.12466,0.06067,1.98076,3.27327,2.08916,0.000324561,0.000324561,0.0678684
2,112.467,1.62722,1.93596,1.60899,0.24496,0.41914,0.24537,0.11345,1.81285,3.45888,1.8482,0.000651382,0.000651382,0.0348619
3,161.593,1.69619,2.0219,1.69246,0.13158,0.41248,0.15429,0.06196,1.92663,25.9557,1.96366,0.000971602,0.000971602,0.00184879
4,212.754,1.67153,1.91212,1.6428,0.14429,0.43304,0.14997,0.06258,1.91921,3.20127,1.93449,0.0009703,0.0009703,0.0009703
5,259.13,1.59495,1.77055,1.59619,0.49116,0.46103,0.43981,0.21622,1.69587,2.03041,1.77654,0.0009604,0.0009604,0.0009604
6,307.952,1.51688,1.68974,1.54409,0.31582,0.39319,0.26425,0.13859,1.69141,2.32653,1.80335,0.0009505,0.0009505,0.0009505
7,354.408,1.49676,1.63633,1.53677,0.40302,0.42464,0.33484,0.17135,1.6352,1.84654,1.68218,0.0009406,0.0009406,0.0009406
8,399.625,1.46521,1.59274,1.51164,0.45974,0.65457,0.49989,0.28416,1.61969,2.4583,1.63005,0.0009307,0.0009307,0.0009307
9,451.772,1.49424,1.58034,1.50723,0.59418,0.49168,0.51232,0.31457,1.52404,1.59437,1.58942,0.0009208,0.0009208,0.0009208
10,503.653,1.43396,1.50693,1.44979,0.45173,0.54388,0.46432,0.27667,1.5387,1.75409,1.5838,0.0009109,0.0009109,0.0009109
11,554.756,1.43713,1.50435,1.47273,0.53403,0.63728,0.59147,0.35429,1.52055,1.46877,1.62324,0.000901,0.000901,0.000901
12,603.965,1.42086,1.45777,1.46234,0.53367,0.60732,0.51077,0.29371,1.55598,1.52059,1.59995,0.0008911,0.0008911,0.0008911
13,650.156,1.41299,1.48111,1.48423,0.54543,0.56699,0.53819,0.33835,1.48624,1.55511,1.51709,0.0008812,0.0008812,0.0008812
14,696.01,1.42083,1.48051,1.46678,0.56133,0.60844,0.55985,0.32289,1.49575,1.57339,1.56485,0.0008713,0.0008713,0.0008713
15,742.19,1.36834,1.40065,1.41305,0.44704,0.68387,0.57625,0.33899,1.451,1.43944,1.49207,0.0008614,0.0008614,0.0008614
16,787.419,1.36405,1.35966,1.40623,0.51146,0.70036,0.56794,0.34681,1.47877,1.43705,1.54693,0.0008515,0.0008515,0.0008515
17,833.737,1.34295,1.3909,1.43266,0.53582,0.66476,0.59051,0.35108,1.55646,1.36102,1.57948,0.0008416,0.0008416,0.0008416
18,879.358,1.38804,1.52524,1.42872,0.5837,0.64847,0.6111,0.39013,1.44283,1.33439,1.4888,0.0008317,0.0008317,0.0008317
19,931.289,1.39553,1.42965,1.4348,0.46329,0.59786,0.54503,0.31424,1.51342,1.51368,1.55702,0.0008218,0.0008218,0.0008218
20,978.594,1.33246,1.36902,1.40746,0.60984,0.6983,0.63805,0.40316,1.46826,1.36206,1.50114,0.0008119,0.0008119,0.0008119
21,1028.48,1.31427,1.29122,1.39806,0.6314,0.63349,0.63058,0.39979,1.45293,1.38822,1.49999,0.000802,0.000802,0.000802
22,1078.08,1.29107,1.28923,1.38001,0.64927,0.67831,0.64387,0.41218,1.39762,1.29205,1.4554,0.0007921,0.0007921,0.0007921
23,1127.06,1.26455,1.24593,1.35432,0.58187,0.6675,0.58099,0.34487,1.39495,1.41302,1.46982,0.0007822,0.0007822,0.0007822
24,1174.83,1.29852,1.29029,1.388,0.60042,0.63531,0.63431,0.41084,1.35763,1.36079,1.41612,0.0007723,0.0007723,0.0007723
25,1218.33,1.2469,1.32932,1.34713,0.61194,0.61501,0.61666,0.39215,1.43131,1.34252,1.45549,0.0007624,0.0007624,0.0007624
26,1264.3,1.29306,1.27203,1.37795,0.60156,0.67869,0.64116,0.39543,1.36994,1.31842,1.43615,0.0007525,0.0007525,0.0007525
27,1309.68,1.23087,1.21486,1.35424,0.65793,0.63445,0.66737,0.43671,1.35225,1.29263,1.43145,0.0007426,0.0007426,0.0007426
28,1359.07,1.2395,1.1592,1.32829,0.57307,0.68304,0.63062,0.40469,1.43005,1.36418,1.49581,0.0007327,0.0007327,0.0007327
29,1408.72,1.2761,1.2435,1.37061,0.56621,0.67394,0.62642,0.40625,1.42671,1.34931,1.48916,0.0007228,0.0007228,0.0007228
30,1453.19,1.25204,1.17192,1.34617,0.6073,0.72136,0.64863,0.41634,1.34152,1.28674,1.42725,0.0007129,0.0007129,0.0007129
31,1499.74,1.21678,1.14109,1.33402,0.72325,0.65911,0.67119,0.41725,1.34284,1.2665,1.42079,0.000703,0.000703,0.000703
32,1545.67,1.21431,1.1035,1.32828,0.55457,0.66673,0.61655,0.39898,1.44853,1.27527,1.49184,0.0006931,0.0006931,0.0006931
33,1591.83,1.20995,1.11494,1.31271,0.75651,0.61459,0.65573,0.43021,1.41879,1.32828,1.46178,0.0006832,0.0006832,0.0006832
